customerID,Dependents,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,gender,InternetService,Contract,PaymentMethod,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,No,No,No,Yes,No,No,No,No,Yes,Female,DSL,Month-to-month,Electronic check,0,1,29.85,29.85,No
5575-GNVDE,No,No,Yes,No,Yes,No,No,No,No,Male,DSL,One year,Mailed check,0,34,56.95,1889.5,No
3668-QPYBK,No,No,Yes,Yes,No,No,No,No,Yes,Male,DSL,Month-to-month,Mailed check,0,2,53.85,108.15,Yes
7795-CFOCW,No,No,Yes,No,Yes,Yes,No,No,No,Male,DSL,One year,Bank transfer (automatic),0,45,42.3,1840.75,No
9237-HQITU,No,No,No,No,No,No,No,No,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,2,70.7,151.65,Yes
9305-CDSKC,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,8,99.65,820.5,Yes
1452-KIOVK,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Male,Fiber optic,Month-to-month,Credit card (automatic),0,22,89.1,1949.4,No
6713-OKOMC,No,No,Yes,No,No,No,No,No,No,Female,DSL,Month-to-month,Mailed check,0,10,29.75,301.9,No
7892-POOKP,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Female,Fiber optic,Month-to-month,Electronic check,0,28,104.8,3046.05,Yes
6388-TABGU,Yes,No,Yes,Yes,No,No,No,No,No,Male,DSL,One year,Bank transfer (automatic),0,62,56.15,3487.95,No
9763-GRSKD,Yes,No,Yes,No,No,No,No,No,Yes,Male,DSL,Month-to-month,Mailed check,0,13,49.95,587.45,No
7469-LKBCI,No,No,No,No,No,No,No,No,No,Male,No,Two year,Credit card (automatic),0,16,18.95,326.8,No
8091-TTVAX,No,Yes,No,No,Yes,No,Yes,Yes,No,Male,Fiber optic,One year,Credit card (automatic),0,58,100.35,5681.1,No
0280-XJGEX,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Bank transfer (automatic),0,49,103.7,5036.3,Yes
5129-JLPIS,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Male,Fiber optic,Month-to-month,Electronic check,0,25,105.5,2686.05,No
3655-SNQYZ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Female,Fiber optic,Two year,Credit card (automatic),0,69,113.25,7895.15,No
8191-XWSZG,No,No,No,No,No,No,No,No,No,Female,No,One year,Mailed check,0,52,20.65,1022.95,No
9959-WOFKT,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Male,Fiber optic,Two year,Bank transfer (automatic),0,71,106.7,7382.25,No
4190-MFLUW,Yes,No,No,No,Yes,Yes,No,No,No,Female,DSL,Month-to-month,Credit card (automatic),0,10,55.2,528.35,Yes
